Nom de l'établissement	Adresse	Site Web	Status
Spa Talaia by Cinq Mondes	1 Carr d'Hélianthe 64200 Biarritz France	https://www.planity.com/le-talaia-hotel-spa-5-mondes-biarritz-64200	Traité
Spa Labenne Dune & Eau - Landes	59 Av. de l'Océan 40530 Labenne France	https://www.duneeteau.fr/	Traité
Oppo'Calm - Spa Pays basque	303 Karrika Nagusia 64250 Ainhoa France	https://maisonoppoca.com/spa-pays-basque/	Traité
Spa Nuxe	58 Av. Edouard VII 64200 Biarritz France	https://book.pure-informatique.com/Categories.php?locationID=51723&sid=dknsdg065hp2fme7spap1tj7pn	Traité
Thalassothérapie Thalazur Saint-Jean-de-Luz	Pl. Maurice Ravel 64500 Saint-Jean-de-Luz France	https://www.thalazur.fr/saint-jean-de-luz/thalasso/	Traité
Mayenne SPA	48 Bd Lucien de Montigny 53100 Mayenne France	https://www.institut-bien-etre-et-beaute.com/contact/	Traité
UN INSTANT AU SPA	Bd des Grands Bouessays 53960 Bonchamp-lès-Laval France	http://www.uninstantauspa.com/	Traité
Spa des thermes	9 Rue du Moulin de la Roche 53260 Entrammes France	http://www.lespadesthermes.fr/	Traité
L'orée du Spa	Rue de Brou 28800 Flacey France	http://www.loree-du-spa.com/	Traité
Le Paradis Du Bien Etre	100 Chem. de la Chapelle 42300 Villerest France	http://www.leparadisdubienetre.fr/	Traité
Espace Bien-être La Charpinière	8 La Charpinière 8 allée 42330 Saint-Galmier France	http://espacebienetre.lacharpiniere.com/	Traité
Les Iléades	362 Rue du Geyser 42210 Montrond-les-Bains France	https://lesileades.com/	Traité
Spa Domaine du Moulin Cavier	Hotel le Cavier 2 Rte nationale 162 49240 Avrillé France	https://www.hotelmoulincavier.com/spa-detente-hotel-proche-angers	Traité
Le Bien Être de Loire&Sens	11 Chem. du Bois Guillou 49610 Les Garennes sur Loire France	https://loireetsens.com/fr/spa.html	Traité
Spa Loiseau des Sens	2 Av. Bernard Loiseau 21210 Saulieu France	https://www.bernard-loiseau.com/fr/maisons/villa-loiseau-des-sens/spa-villa-loiseau-des-sens.html	Traité
Spa Avenue Reims	1 Rue des Blancs Fossés 51370 Ormes France	https://spa-avenue.fr/reims	Traité
SPA Reims	4 Rue de la Garenne 51370 Champigny France	http://www.spareims.fr/	Traité
L'institut de beauté spa	47 Rue Louis Pasteur 51100 Reims France	https://linstitutdebeautespa.fr/	Traité
Spa Océan Île de Ré, La Couarde-sur-Mer	50 Rte d'Ars 17670 La Couarde-sur-Mer France	http://www.spa-ile-de-re.com/	Traité
Le Paradis Du Spa®?	764 A Av. de l'Europe 50400 Yquelon France	https://www.paradisduspa.fr/	Traité
L'instant Spa	14 Lices Georges Pompidou 81000 Albi France	https://www.linstantspa.fr/	Traité
Les Sens Du Spa	1 Rue Général Pont 81000 Albi France	http://www.lessensduspa.com/	Traité
Un air de misstinguette	D39 32130 Samatan France		
SandrO Spa	27 Rue des Minimes 72000 Le Mans France	https://www.sandro-spa.com/fr/?utm_source=MyBusiness	Traité
Maison Raphaël Perrier Spa	La Visitation 1 C Rue Gambetta 72000 Le Mans France	https://maisonraphaelperrier.com/	Traité
Spa Bien-être Domaine de la Dombes	941 Verfey 01240 Saint-Paul-de-Varax France	https://domainedeladombes.com/activites/spa-espace-bien-etre/	Traité
Espace bien-être de la Praille	Rte du Col de la Rochette 01110 Plateau d'Hauteville France	https://www.hautbugey-tourisme.com/equipement/espace-bien-etre/	Traité
Spa La Coupole	11 Rue du Soldat Bellon Antoine 83400 Hyères France	https://www.spacoupole-hyeres.com/	Traité
Spa de la joie de vivre	320 Bd de la Joie de Vivre 83400 Hyères France	https://www.spa-la-joie-de-vivre.com/	Traité
Aphrodite Spa	1737 Rte de la Madrague 83400 Hyères France	http://www.aphroditespa.fr/?utm_source=gmb	Traité
Mona Spa - Bormes-les-Mimosas	167 Rte du Baguier 83230 Bormes-les-Mimosas France	https://bormes.mona-spa.fr/	Traité
Spa - Camp du Domaine	2581 Rte de Bénat 83230 Bormes-les-Mimosas France	https://app.acuityscheduling.com/schedule/5ad0cc31	Traité
